pertSize,reactionTime,initialResponse,subID,blockNo,speed,leftResponse,rightResponse,noResponse
-100,1.2219966588018,1,1,2,0,0,1,0
100,2.05999933719431,-1,1,3,0,1,0,0
25,3.07899688815814,-1,1,3,0,1,0,0
-50,5.76199598085805,1,1,3,0,0,1,0
-200,0.919993940355198,1,1,3,0,0,1,0
150,0.830997122044209,-1,1,3,0,1,0,0
300,0.573997891660838,-1,1,3,0,1,0,0
-25,2.42399437462882,1,1,3,0,0,1,0
0,4.37899278545228,-1,1,3,0,1,0,0
-300,0.742996105909697,1,1,3,0,0,1,0
50,3.03699320626038,-1,1,3,0,1,0,0
-100,2.66399627935607,1,1,3,0,0,1,0
0,4.33299462711875,-1,1,3,0,1,0,0
200,2.78000006044022,-1,1,3,0,1,0,0
-150,1.2629978874902,1,1,3,0,0,1,0
-100,1.58999922334624,1,1,3,0,0,1,0
-25,4.85399931394932,1,1,3,0,0,1,0
50,4.54099715363554,-1,1,3,0,1,0,0
200,0.735998656273296,-1,1,3,0,1,0,0
-150,1.17899520790525,1,1,3,0,0,1,0
-300,0.697995238901058,1,1,3,0,0,1,0
25,2.11299753833009,-1,1,3,0,1,0,0
0,4.80299222731264,-1,1,3,0,1,0,0
300,2.01999726187933,-1,1,3,0,1,0,0
-50,2.52800046181801,-1,1,3,0,1,0,0
100,3.09099589430843,-1,1,3,0,1,0,0
0,6.14699493515218,-1,1,3,0,1,0,0
-200,0.690992092248052,1,1,3,0,0,1,0
150,1.09099226760736,-1,1,3,0,1,0,0
-150,2.32499734842713,1,1,3,0,0,1,0
200,1.62599564850098,-1,1,3,0,1,0,0
0,3.11199893533922,-1,1,3,0,1,0,0
-100,3.10300020813884,-1,1,3,0,1,0,0
50,3.03899341916986,-1,1,3,0,1,0,0
-300,0.151992913364666,1,1,3,0,0,1,0
0,7.55499584424251,1,1,3,0,0,1,0
-25,3.02100069451262,-1,1,3,0,1,0,0
300,0.501997332336032,-1,1,3,0,1,0,0
150,0.730996717211383,-1,1,3,0,1,0,0
-200,0.796999887701531,1,1,3,0,0,1,0
-50,3.70699163901736,1,1,3,0,0,1,0
25,7.71500090002519,1,1,3,0,0,1,0
100,1.71399340045173,-1,1,3,0,1,0,0
150,1.78099392831064,-1,1,3,0,1,0,0
-200,0.992996360182588,1,1,3,0,0,1,0
0,4.70199390553898,1,1,3,0,0,1,0
100,2.24200033116358,-1,1,3,0,1,0,0
-50,3.46900135588658,1,1,3,0,0,1,0
300,0.610993227004656,-1,1,3,0,1,0,0
0,4.85299882852996,1,1,3,0,0,1,0
25,3.69899897027062,1,1,3,0,0,1,0
-300,0.089997858282004,1,1,3,0,0,1,0
-150,0.819000192044768,1,1,3,0,0,1,0
200,0.521993194219249,-1,1,3,0,1,0,0
50,2.0829987137331,-1,1,3,0,1,0,0
-25,3.52199285399547,1,1,3,0,0,1,0
-100,2.2099964344452,1,1,3,0,0,1,0
25,8.58800006973615,1,2,2,0,0,1,0
-50,8.08200450587174,1,2,2,0,0,1,0
-200,4.50799899160484,1,2,2,0,0,1,0
150,5.12000481736322,-1,2,2,0,1,0,0
300,4.66800046360004,-1,2,2,0,1,0,0
-25,6.3680021351538,1,2,2,0,0,1,0
0,8.12200054668938,1,2,2,0,0,1,0
-300,3.82199577664869,1,2,2,0,0,1,0
50,7.06299662899983,-1,2,2,0,1,0,0
-100,4.57100548422022,1,2,2,0,0,1,0
0,6.64700522791827,-1,2,2,0,1,0,0
200,3.93900281810784,-1,2,2,0,1,0,0
-150,4.88799694085174,1,2,2,0,0,1,0
-100,7.41700420462439,1,2,2,0,0,1,0
-25,6.341001120687,1,2,2,0,0,1,0
50,7.87599855673034,1,2,2,0,0,1,0
200,4.29099862837757,1,2,2,0,0,1,0
-150,4.57100508832809,1,2,2,0,0,1,0
-300,4.23700252854178,1,2,2,0,0,1,0
25,6.36300133740588,-1,2,2,0,1,0,0
0,8.17000246095267,1,2,2,0,0,1,0
300,3.78899707352684,-1,2,2,0,1,0,0
-50,5.19599680530519,1,2,2,0,0,1,0
100,6.20000176560279,-1,2,2,0,1,0,0
0,7.12499718760955,1,2,2,0,0,1,0
-200,4.08299840783729,1,2,2,0,0,1,0
150,3.71900408851798,-1,2,2,0,1,0,0
100,4.79199848806456,-1,2,2,0,1,0,0
200,3.64300680136512,-1,2,2,0,1,0,0
0,7.13100793051126,1,2,2,0,0,1,0
-100,4.26900059282343,1,2,2,0,0,1,0
50,6.96400308918965,-1,2,2,0,1,0,0
-300,4.24500817000808,1,2,2,0,0,1,0
0,7.39200654649176,1,2,2,0,0,1,0
-25,7.07500042748143,-1,2,2,0,1,0,0
300,3.53400581383175,-1,2,2,0,1,0,0
150,3.6830039120905,-1,2,2,0,1,0,0
-200,3.02500706505089,1,2,2,0,0,1,0
-50,5.06800746607769,1,2,2,0,0,1,0
25,6.97900545573066,1,2,2,0,0,1,0
100,6.11100418960996,-1,2,2,0,1,0,0
150,4.79200352894986,-1,2,2,0,1,0,0
-200,3.73900925028283,1,2,2,0,0,1,0
0,6.84600217330444,-1,2,2,0,1,0,0
100,5.31100354981027,-1,2,2,0,1,0,0
-50,7.98100924944447,-1,2,2,0,1,0,0
300,2.67200234413031,-1,2,2,0,1,0,0
0,6.56300062811351,-1,2,2,0,1,0,0
25,7.0129992870061,-1,2,2,0,1,0,0
-300,2.79600576376833,1,2,2,0,0,1,0
-150,3.89600248848728,1,2,2,0,0,1,0
200,3.64400111162104,-1,2,2,0,1,0,0
50,6.47000355052296,-1,2,2,0,1,0,0
-25,6.80100177073473,1,2,2,0,0,1,0
-100,6.15200084519165,1,2,2,0,0,1,0
-150,4.90000397574477,1,2,2,0,0,1,0
25,7.22500455748377,1,2,4,0,0,1,0
-50,5.61800706505164,1,2,4,0,0,1,0
-200,3.9730053707317,1,2,4,0,0,1,0
150,3.54200689649588,-1,2,4,0,1,0,0
300,3.65000268637959,-1,2,4,0,1,0,0
-25,5.18299911748909,1,2,4,0,0,1,0
0,7.26900125646353,1,2,4,0,0,1,0
-300,2.91199956774653,1,2,4,0,0,1,0
50,7.92399921405013,1,2,4,0,0,1,0
-100,5.11100494169659,1,2,4,0,0,1,0
0,6.8919998037818,-1,2,4,0,1,0,0
200,3.75900737166376,-1,2,4,0,1,0,0
-150,4.0169995665492,1,2,4,0,0,1,0
-100,5.08900153732247,1,2,4,0,0,1,0
-25,7.17600421869429,-1,2,4,0,1,0,0
50,7.73200649642968,-1,2,4,0,1,0,0
200,3.51100293803029,-1,2,4,0,1,0,0
-150,3.93500430262065,1,2,4,0,0,1,0
-300,2.76300096917112,1,2,4,0,0,1,0
25,7.49900401425111,1,2,4,0,0,1,0
0,7.57800182521169,-1,2,4,0,1,0,0
300,2.68300420451124,-1,2,4,0,1,0,0
-50,6.86100472187536,1,2,4,0,0,1,0
100,4.77400797366863,-1,2,4,0,1,0,0
