Reference,Testing
26.567832599979315,109.43003107822173
28.15700315877151,145.10547662907447
32.10649911409873,54.78399222329904
54.900409339814296,102.64488550084897
29.057397224291883,91.66114026318995
62.780519874500776,274.6530721670274
41.17700628736194,89.39145678388677
48.37041731507202,44.14482900156672
46.343385012407886,63.694246784378585
17.663211978725943,35.085653494121715
27.18015245227743,63.287660807899364
50.111564243589946,112.42900756391334
27.755390871238717,92.58028662436914
