Reference,Testing
22.696023383948653,21.154805122308762
32.589073649359996,62.34252635438831
42.1840851672056,41.50116730356041
52.80811714863519,63.9704855258598
26.08760045114947,37.635802843292346
38.494397974298295,35.29098790386127
47.304948579042794,42.4988906642569
36.07107357519437,42.945393224704105
23.316753872303916,28.384582889837894
33.9744356910152,40.988298721044245
31.62850282903931,51.05054192599108
108.49022386320775,107.94921810203356
21.154411113986114,45.171792113912325
